_id,X,Y
6003990d2bc02409914c8e0e,-4.486105,48.381546
600399bc2bc0240991584fd8,-4.59682,48.13604
60039df12bc02409910864ca,-4.761065,48.064568
60039bbe2bc02409919a987c,-4.47102,48.33528
60039c032bc0240991ba58d7,-4.44886,48.382935
60039e102bc0240991163e4c,-4.674073,48.30594
600399bc2bc0240991584fc7,-4.596935,48.136032
60039b9c2bc02409918a6d24,-4.465985,48.13658
60039e512bc024099133ea96,-4.478365,48.342216
60039a5a2bc024099169b2d5,-4.44983,48.13505
60039c8d2bc0240991f44b65,-4.523075,48.34936
60039a6c2bc0240991716544,-4.4970665,48.38219
60039b8e2bc024099183a286,-4.49704,48.379547
60039bdc2bc0240991a89339,-4.6563916,48.30743
60039c3d2bc0240991ce2f1c,-4.4851317,48.381382
6003990d2bc02409914c6f79,-4.486107,48.38154
60039bbe2bc02409919a95e7,-4.4707866,48.334732
600399d42bc024099162a96c,-4.4515815,48.147068
60039df12bc02409910864c7,-4.761465,48.0642
60039c032bc0240991ba5824,-4.448855,48.382927
60039c032bc0240991bb5a57,-4.597015,48.13405
60039e512bc024099133ea98,-4.4783483,48.342216
600399bc2bc0240991584fd7,-4.597552,48.13604
60039a5a2bc024099169b2d4,-4.4504914,48.13505
60039bbe2bc02409919a93f7,-4.470615,48.33434
60039e102bc0240991163e82,-4.6732535,48.30622
60039c8d2bc0240991f44b52,-4.5237885,48.34918
60039b9c2bc02409918a6d39,-4.466635,48.136654
600399d42bc024099162a985,-4.452015,48.147083
60039b8f2bc02409918407b7,-4.4970365,48.37955
60039bdc2bc0240991a8929a,-4.6571383,48.307323
60039c3d2bc0240991cdf0b3,-4.485125,48.381367
6003990d2bc02409914c7dcc,-4.4861016,48.381542
60039df12bc02409910864c5,-4.761715,48.0639
60039e102bc0240991163ea0,-4.672788,48.306355
60039c032bc0240991ba57d9,-4.4488535,48.38292
600399bc2bc0240991584fc6,-4.598105,48.136032
60039c032bc0240991bb5b39,-4.597602,48.134216
60039e512bc024099133ea99,-4.4783483,48.342216
60039a5a2bc024099169b2db,-4.451155,48.13506
60039b9c2bc02409918a6d4d,-4.46714,48.136726
60039b922bc024099184ce9b,-4.4970365,48.379555
60039c8d2bc0240991f44b3f,-4.5244985,48.349
60039bbe2bc02409919a8f67,-4.470227,48.33338
60039bdc2bc0240991a89218,-4.657893,48.30723
60039e102bc0240991163ebb,-4.6724734,48.306473
60039c3a2bc0240991cc9ca2,-4.485115,48.381348
60039df12bc02409910864c2,-4.761915,48.0637
6003990d2bc02409914c8f8c,-4.4861016,48.381546
60039df12bc02409910864c0,-4.761965,48.063583
60039e102bc0240991163ed9,-4.6720715,48.3066
600399bc2bc0240991584fd6,-4.5986633,48.13604
60039a5a2bc024099169b2ea,-4.451753,48.135075
60039bbe2bc02409919a8cbb,-4.4700284,48.332813
60039c032bc0240991ba5821,-4.448857,48.382927
60039c032bc0240991bb5c25,-4.59824,48.1344
60039e512bc024099133ea9a,-4.4783483,48.342216
60039df12bc02409910864be,-4.7620983,48.06345
60039b9c2bc02409918a6d5a,-4.467695,48.136806
60039c8d2bc0240991f44b2d,-4.52529,48.348835
60039b8f2bc0240991840508,-4.49704,48.37955
60039bdc2bc0240991a89140,-4.658635,48.30709
60039c2f2bc0240991c9310d,-4.4851084,48.38133
60039bbe2bc02409919a8ac7,-4.4698834,48.332405
6003990d2bc02409914c9052,-4.4861,48.381546
60039df12bc02409910864ba,-4.7622485,48.063282
600399bc2bc0240991585029,-4.599165,48.136074
60039c032bc0240991ba579b,-4.4488482,48.38291
60039c032bc0240991bb5d1c,-4.5987034,48.1346
60039a5a2bc024099169b2f7,-4.4524884,48.135094
60039bbe2bc02409919a8812,-4.4696684,48.331837
60039e102bc0240991163f10,-4.6713066,48.306854
60039e512bc024099133ea87,-4.4783483,48.3422
60039c8d2bc0240991f44b1b,-4.52593,48.348686
60039a692bc024099170d608,-4.4970665,48.38217
600398f42bc024099141e03a,-4.4859233,48.380768
60039b8e2bc0240991839898,-4.497043,48.379547
60039bdc2bc0240991a89079,-4.6593766,48.306946
60039dfc2bc02409910d1389,-4.518475,48.367348
6003990d2bc02409914c8e0f,-4.486105,48.381546
600399c62bc02409915bc6b0,-4.4900966,48.378086
600399bc2bc0240991585111,-4.5995965,48.136124
60039bbe2bc02409919a8613,-4.469505,48.33144
60039df12bc02409910864b3,-4.762565,48.062916
60039e102bc0240991163f31,-4.6708617,48.30699
600399bc2bc0240991585162,-4.599702,48.13615
60039e512bc024099133ea88,-4.4783316,48.3422
60039a5a2bc024099169b30a,-4.4531517,48.13512
60039c032bc0240991ba579c,-4.4488482,48.38291
600399bc2bc02409915851a0,-4.5998735,48.136173
60039b8e2bc02409918388c2,-4.4970484,48.379547
60039bbe2bc02409919a83a4,-4.4692917,48.330956
60039c8d2bc0240991f44b05,-4.52664,48.348526
60039e102bc0240991163f48,-4.6705666,48.30711
60039bdc2bc0240991a88fc2,-4.660102,48.3068
60039c332bc0240991c9c92b,-4.4851117,48.381332
600399d42bc024099162aa7f,-4.454632,48.147232
6003990d2bc02409914c6e76,-4.48611,48.38154
600399bc2bc024099158524a,-4.600078,48.136223
60039df12bc02409910864b0,-4.762865,48.06262
60039bbe2bc02409919a815a,-4.46909,48.33048
60039e102bc0240991163f60,-4.670212,48.307228
600399bc2bc02409915852c4,-4.600227,48.136265
60039c032bc0240991ba5780,-4.4488435,48.382908
60039c032bc0240991bb5a98,-4.5994534,48.13409
60039e172bc024099118b71a,-4.452815,48.38209
60039a5a2bc024099169b320,-4.4538116,48.135155
60039e512bc024099133ea89,-4.4783316,48.3422
600399d42bc024099162aaa2,-4.454982,48.14725
60039c8d2bc0240991f44af7,-4.5273466,48.348366
60039bdc2bc0240991a88f63,-4.6608515,48.30672
60039c3a2bc0240991cd311c,-4.48512,48.38135
600399bc2bc0240991585377,-4.6004868,48.136345
6003990d2bc02409914c6d85,-4.4861135,48.38154
600399bc2bc02409915853a4,-4.6005917,48.13637
60039bbe2bc02409919a7ea9,-4.468838,48.32992
60039df12bc02409910864ad,-4.7631817,48.0623
60039c032bc0240991ba5772,-4.4488435,48.382904
60039c032bc0240991bb581c,-4.5992966,48.133667
60039e512bc024099133ea8a,-4.4783316,48.3422
600399bc2bc024099158540f,-4.600835,48.13645
60039a5a2bc024099169b32c,-4.4544716,48.13518
60039bbe2bc02409919a7ccc,-4.468652,48.329525
60039e102bc0240991163f97,-4.669532,48.307487
600399bc2bc0240991585447,-4.600935,48.136494
60039b9c2bc02409918a6d7a,-4.469927,48.136925
